SipmName,Time(ns),X(mm),Y(mm),Z(mm),Energy(eV),Wavelength(nm)
SiPM_Bottom_0_3_1,23384.7,-44.983,199.372,1.97,2.48411,499.11
SiPM_Bottom_0_4_1,23372.5,44.6705,198.741,0.53,2.39833,516.959
SiPM_Bottom_1_3_1,9466.69,-43.78,180.018,11.6162,2.3367,530.595
SiPM_Bottom_1_4_0,25.0595,44.5868,-192.866,12.3738,2.52107,491.792
SiPM_Bottom_2_4_0,10559.6,45.22,-195.378,22.2752,2.42341,511.61
SiPM_Bottom_2_4_0,10562.5,44.2615,-199.367,21.3376,2.55891,484.519
SiPM_Bottom_2_5_1,10560.7,81.5629,197.509,22.7776,2.28606,542.349
SiPM_Bottom_2_6_0,10597.2,117.288,-198.474,21.7166,2.6146,474.2
SiPM_Top_1_1_1,62.9075,196.396,-117.724,17.5757,2.53792,488.526
SiPM_Top_1_4_0,21.4258,-194.195,44.7053,16.1357,2.51813,492.366
